permno,fyear,EXECID,grantdate,val,security,ret,retlag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo,val_lag,time
10696,2000,4431,20000701,7.676101344,1,0.771756297,-0.032810525,10.74810782,6.333397565,3.83140594,0.808179838,1.679296058,8.577104147,0.079339933,0.044927189,7.556706711,8
10696,2001,4431,20010701,8.61617228,1,-0.020471205,0.771756297,11.01650359,6.568033958,4.742191839,0.821562284,1.82720593,8.628255024,0.03474778,0.110116792,7.676101344,9
10696,2002,4431,20020701,8.293068375,1,-0.121978696,-0.020471205,11.30842782,6.85964824,5.098722355,0.811945489,2.211494314,8.579837795,0.03873312,0.079146021,8.61617228,10
10696,2003,4431,20030701,8.125653726,1,0.119937118,-0.121978696,11.06529732,6.670327697,5.48720777,0.846242278,1.726649031,8.770238011,0.052424564,0.108378762,8.293068375,11
10696,2004,4431,20040701,7.963808908,1,-0.135939084,0.119937118,11.06673691,6.750901426,5.422944402,0.837772092,1.759786448,8.883941726,0.066017259,0.080466647,8.125653726,12
10696,2005,4431,20050701,8.057203488,1,0.259712479,-0.135939084,11.0590712,6.791670385,5.443539346,0.85733663,1.625335426,9.034122033,0.044425211,0.09680705,7.963808908,13
10696,2007,23954,20070701,6.81134129,0,0.078436775,-0.059190516,9.032864251,5.542198687,0,0.342583448,2.053970582,8.73374273,0.058604217,0.105134584,0,15
10696,2007,23954,20070223,7.924111295,1,0.2161238,0.052927607,9.032864251,5.542198687,0,0.342583448,2.053970582,8.73374273,0.058604217,0.105134584,0,15
10696,2008,23954,20080701,7.284658348,0,-0.059299445,0.078436775,9.759484804,5.716385523,5.076279405,0.459115231,1.565118943,9.37982995,0.291525549,0.101644302,6.81134129,16
10696,2008,23954,20080227,7.592477794,1,-0.045598393,0.2161238,9.759484804,5.716385523,5.076279405,0.459115231,1.565118943,9.37982995,0.291525549,0.101644302,7.924111295,16
10696,2009,23954,20090701,6.68900581,0,-0.017748908,-0.059299445,9.239866962,5.208881601,5.291905232,0.624432704,1.329662737,9.141204633,0.330859397,0.121728854,7.284658348,17
10696,2009,23954,20090226,8.268445937,1,-0.389758035,-0.045598393,9.239866962,5.208881601,5.291905232,0.624432704,1.329662737,9.141204633,0.330859397,0.121728854,7.592477794,17
10696,2010,23954,20100701,6.543615399,0,0.052853492,-0.017748908,10.06098627,5.940780016,5.708051636,0.510621058,1.525320602,9.033483855,0.284917541,0.105240596,6.68900581,18
10696,2010,23954,20100224,8.413548968,1,0.471682534,-0.389758035,10.06098627,5.940780016,5.708051636,0.510621058,1.525320602,9.033483855,0.284917541,0.105240596,8.268445937,18
10696,2011,23954,20110701,6.747201476,0,0.201915742,0.052853492,10.48682381,6.384362333,5.996634984,0.565952355,1.648890714,9.021839764,0.245780428,0.116018143,6.543615399,19
10696,2011,23954,20110223,8.470093384,1,0.308445824,0.471682534,10.48682381,6.384362333,5.996634984,0.565952355,1.648890714,9.021839764,0.245780428,0.116018143,8.413548968,19
10696,2012,23954,20120701,7.807511262,0,0.160171923,0.201915742,10.41804368,6.492401657,6.229668638,0.680970992,1.581594993,9.053569596,0.251119237,0.113150586,6.747201476,20
10696,2012,23954,20120222,7.910327099,1,0.046234395,0.308445824,10.41804368,6.492401657,6.229668638,0.680970992,1.581594993,9.053569596,0.251119237,0.113150586,8.470093384,20
11378,2000,20758,20000701,5.424503074,1,0.067051041,-0.365156503,7.06996357,2.837940188,2.814079823,0.147875547,1.129358121,5.894788435,0.19737607,0.095731141,6.768981643,8
11378,2001,20758,20010701,5.674501203,1,0.058476718,0.067051041,7.311049763,3.084361911,2.971595171,0.533435695,1.105160688,5.830826201,0.179501222,0.085748606,5.424503074,9
11378,2002,20758,20020701,4.780802755,0,-0.196879247,0.058476718,7.533173082,3.4896398,3.412707859,0.625,1.423975473,5.807283262,0.136332477,0.072129313,0,10
11378,2002,20758,20020701,5.748309594,1,-0.196879247,0.058476718,7.533173082,3.4896398,3.412707859,0.625,1.423975473,5.807283262,0.136332477,0.072129313,5.674501203,10
11378,2004,24079,20040701,5.722559667,1,-0.032868869,-0.087571213,6.309178659,2.276148921,2.28555501,0.342877259,1.265922567,5.714376163,0.141689256,0.074909937,3.962731542,12
11378,2005,24079,20050701,6.236604396,0,0.345948489,-0.032868869,7.442639195,3.211651534,2.753392788,0.705455263,1.51610825,5.899617863,0.153341774,0.069259915,0,13
11378,2005,24079,20050701,5.153101772,1,0.345948489,-0.032868869,7.442639195,3.211651534,2.753392788,0.705455263,1.51610825,5.899617863,0.153341774,0.069259915,5.722559667,13
