permno,fyear,date,adjfac,S0,S1,u,sigma
77354,2011,20120531,1,27.239999771,26.950000763,0.1186031645,0.2749063676
77413,2007,20071231,1,3.2200000286,2.0599999428,-0.1544432,0.8363423438
77413,2008,20081231,1,2.0599999428,0.7400000095,-0.2379701,0.5040997029
77413,2009,20091231,1,0.7400000095,2.3299999237,0.3660661858,0.6657245655
77413,2010,20101231,1,2.3299999237,4.1799998283,0.7586419966,0.7448888556
77413,2011,20111231,1,4.1799998283,4.2899999619,0.9827114962,0.7421256547
77520,2007,20071231,1,30.940000534,67.980003357,0.5400499299,0.2980023365
77520,2008,20081231,1,67.980003357,23.590000153,0.4101953838,0.4168898582
77520,2009,20091231,1,23.590000153,32.340000153,0.2706738172,0.456763076
77520,2010,20101231,1,32.340000153,50.659999847,0.0888188932,0.4782794269
77520,2011,20111231,1,50.659999847,42.970001221,0.2576257349,0.42044298
78981,2007,20071231,1,38.180000305,42.150001526,0.0073050861,0.2421932859
78981,2008,20081231,1,42.150001526,38.430000305,-0.059080828,0.2955615498
78981,2009,20091231,1,38.430000305,38.770000458,-0.014745433,0.2908592667
78981,2010,20101231,1,38.770000458,40.939998627,-0.016020739,0.3121465655
78981,2011,20111231,1,40.939998627,47.919998169,0.0750466967,0.2335478651
79265,2007,20071231,1,15.914999962,31.299999237,0.3067138472,0.3810374531
79265,2008,20081231,1,31.299999237,30.680000305,0.4027194687,0.3355923195
79265,2009,20091231,1,30.680000305,32.729999542,0.3033813818,0.3611888202
79265,2010,20101231,1,32.729999542,29.75,-0.023206078,0.3354757443
79265,2011,20111231,1,29.75,25.069999695,-0.063681655,0.3146376073
79507,2007,20071231,1,23.879999161,24.079999924,0.0156325898,0.4011168656
79507,2008,20081231,1,24.079999924,11.649999619,-0.184869335,0.4395519483
79507,2009,20091231,1,11.649999619,8.1000003815,-0.289711986,0.7796195759
79507,2010,20101231,1,8.1000003815,12.5,-0.098481847,0.8217666156
79507,2011,20111231,1,12.5,10.18999958,0.0146413527,0.7757402851
79564,2007,20071231,1,12.510000229,9.9799995422,0.1068319372,0.4392887695
79564,2008,20081231,1,9.9799995422,7.9499998093,-0.065484589,0.4904438581
79564,2009,20091231,1,7.9499998093,11.430000305,-0.008252414,0.5513153305
79564,2010,20101231,1,11.430000305,11.220000267,0.0637427449,0.5546950333
79564,2011,20111231,1,11.220000267,10.819999695,0.1240929598,0.4299034459
79637,2007,20071231,2,27.715000153,25.600000381,0.0091224251,0.221745907
79637,2008,20081231,2,25.600000381,18.784999847,-0.088608101,0.2727440945
79637,2009,20091231,1,18.784999847,30.5,0.0732779723,0.3453565044
79637,2010,20101231,1,30.5,43.419998169,0.2519410735,0.3846401397
79637,2011,20111231,1,43.419998169,38.86000061,0.3096309911,0.3719224447
79785,2007,20071231,1,645,524,-0.156316127,0.3448573553
79785,2008,20081231,1,524,456.25,-0.164648389,0.3705392119
79785,2009,20091231,1,456.25,710.71002197,0.0606125297,0.4213487707
79785,2010,20101231,1,710.71002197,691.02001953,0.1249218664,0.3716201493
79785,2011,20111231,1,691.02001953,686,0.1702534803,0.3123590095
