permno,fyear,date,adjfac,S0,S1,u,sigma
77659,2011,20120229,1,59.74000168,55.90999985,0.445968181,0.283770622
78015,2007,20071231,2,33.47499847,20.45000076,-0.03318376,0.153440835
78015,2008,20081231,2,20.45000076,27.23500061,-0.102731566,0.239364561
78015,2009,20091231,2,27.23500061,32.70500183,0.005014505,0.31323177
78015,2010,20101231,2,32.70500183,28.26499939,0.040730764,0.346006165
78015,2011,20111231,2,28.26499939,39.91999817,0.128450117,0.305186174
78875,2007,20070630,1,25.85000038,22.80999947,-0.000455511,0.483277645
78875,2008,20080630,1,22.80999947,29.39999962,-0.071911924,0.384072167
78875,2009,20090630,1,29.39999962,60.02999878,0.055631999,0.437805189
78875,2010,20100630,1,60.02999878,33.59000015,0.388507873,0.41466135
78875,2011,20110630,1,33.59000015,25.67000008,0.289242797,0.500915919
78876,2007,20071231,1,7.949999809,9.710000038,0.21211775,0.598352233
78876,2008,20081231,1,9.710000038,6.420000076,0.460640344,0.592712104
78876,2009,20091231,1,6.420000076,5.420000076,-0.049631497,0.680925676
78876,2010,20101231,1,5.420000076,4.800000191,-0.100276996,0.584928374
78876,2011,20111231,1,4.800000191,6.230000019,-0.205550483,0.499999502
80114,2007,20070731,0.1,15.80000043,12.23999977,0.102974708,0.628006172
80114,2008,20080731,1,12.23999977,7.130000114,-0.092502976,0.526378544
80114,2009,20090731,1,7.130000114,6.559999943,-0.074369483,0.804052443
80114,2010,20100731,1,6.559999943,4.190000057,-0.251582885,0.746527849
80114,2011,20110731,1,4.190000057,3.420000076,-0.289922964,0.697314538
80286,2007,20071231,2,17.96999931,18.0699997,-0.017884649,0.327648228
80286,2008,20081231,2,18.0699997,26.48500061,-0.146693438,0.346979296
80286,2009,20091231,2,26.48500061,48.49000168,0.071699612,0.332930404
80286,2010,20101231,1,48.49000168,70.15000153,0.423992664,0.349098696
80286,2011,20111231,1,70.15000153,88.36000061,0.576164844,0.277389268
80303,2007,20071231,1,46.24000168,9.319999695,0.728638268,0.634094746
