permno,fyear,EXECID,val,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
23077,2010,03847,7.314,0,0.18769,-0.20974,7.314,11.161,7.099,6.682,0.72750,2.29013,9.21798,0.20014,0.13061
23077,2010,03847,7.716,1,0.18769,-0.20974,7.805,11.161,7.099,6.682,0.72750,2.29013,9.21798,0.20014,0.13061
23077,2011,03847,7.353,0,0.13582,0.19687,7.314,11.339,7.195,6.672,0.68213,2.09154,9.41178,0.18033,0.15717
23077,2011,03847,7.739,1,0.13582,0.19687,7.716,11.339,7.195,6.672,0.68213,2.09154,9.41178,0.18033,0.15717
23393,2006,28032,4.549,0,0.00070,0.20076,3.970,6.390,1.939,0.000,1.00000,1.72875,7.58229,0.22304,0.10211
23393,2006,28032,7.144,1,-0.03679,0.15491,7.001,6.390,1.939,0.000,1.00000,1.72875,7.58229,0.22304,0.10211
23393,2007,28032,3.613,0,0.29984,0.00070,4.549,9.359,5.226,3.969,0.48546,1.82420,7.75583,0.21920,0.09555
23393,2007,28032,7.514,1,0.26836,-0.03679,7.144,9.359,5.226,3.969,0.48546,1.82420,7.75583,0.21920,0.09555
23393,2008,28032,4.375,0,0.03788,0.29984,3.613,9.256,5.228,4.187,0.39248,1.98776,7.83735,0.17005,0.10707
23393,2008,28032,7.768,1,0.12835,0.26836,7.514,9.256,5.228,4.187,0.39248,1.98776,7.83735,0.17005,0.10707
23393,2009,28032,3.773,0,-0.05062,0.03788,4.375,9.396,5.467,5.069,0.40976,1.92845,7.93825,0.15847,0.13274
23393,2009,28032,7.778,1,-0.04615,0.12835,7.768,9.396,5.467,5.069,0.40976,1.92845,7.93825,0.15847,0.13274
23393,2010,28032,4.475,0,0.27656,-0.05062,3.773,9.775,5.799,5.229,0.43698,1.85400,8.04541,0.14119,0.14312
23393,2010,28032,7.757,1,0.15028,-0.04615,7.778,9.775,5.799,5.229,0.43698,1.85400,8.04541,0.14119,0.14312
23393,2011,28032,3.822,0,0.18162,0.27656,4.475,10.064,6.104,5.392,0.51114,2.03351,7.98827,0.05672,0.13740
23393,2011,28032,7.915,1,0.28976,0.15028,7.757,10.064,6.104,5.392,0.51114,2.03351,7.98827,0.05672,0.13740
24942,2007,03114,9.221,0,0.15532,0.12327,8.918,10.800,6.597,4.754,0.81023,1.48805,10.14612,0.10453,0.11251
24942,2007,03114,0.000,1,0.17073,0.09631,0.000,10.800,6.597,4.754,0.81023,1.48805,10.14612,0.10453,0.11251
24942,2008,03114,9.305,0,0.11243,0.15532,9.221,11.013,6.741,4.212,0.84344,1.57249,10.05544,0.06195,0.04700
24942,2008,03114,0.000,1,-0.00000,0.17073,0.000,11.013,6.741,4.212,0.84344,1.57249,10.05544,0.06195,0.04700
24942,2009,03114,9.245,0,-0.30953,0.11243,9.305,10.826,6.444,4.322,0.83336,1.48653,10.05608,0.06668,0.08655
24942,2009,03114,0.000,1,-0.18287,-0.00000,0.000,10.826,6.444,4.322,0.83336,1.48653,10.05608,0.06668,0.08655
24942,2010,03114,9.255,0,0.16915,-0.30953,9.245,10.728,6.252,3.983,0.80124,1.40846,10.06934,0.07005,0.11697
24942,2010,03114,0.000,1,-0.01813,-0.18287,0.000,10.728,6.252,3.983,0.80124,1.40846,10.06934,0.07005,0.11697
24942,2011,03114,9.239,0,-0.04127,0.16915,9.255,10.587,6.028,3.108,0.76372,1.28256,10.10328,0.11525,0.08226
24942,2011,03114,0.000,1,-0.03563,-0.01813,0.000,10.587,6.028,3.108,0.76372,1.28256,10.10328,0.11525,0.08226
28484,2006,02132,8.468,0,0.32695,0.52820,8.136,14.249,9.644,0.000,0.98536,1.28933,9.85828,0.15358,0.11280
28484,2006,02132,8.649,1,0.32695,0.52820,8.295,14.249,9.644,0.000,0.98536,1.28933,9.85828,0.15358,0.11280
28484,2007,02132,8.417,0,0.09411,0.32695,8.468,14.477,9.900,6.237,0.94749,1.33496,10.01704,0.12612,0.18263
28484,2007,02132,8.686,1,0.09411,0.32695,8.649,14.477,9.900,6.237,0.94749,1.33496,10.01704,0.12612,0.18263
28484,2008,02132,9.385,0,0.53362,0.11299,8.417,15.114,10.521,5.711,0.96869,1.86341,10.17092,0.08174,0.15653
28484,2008,02132,8.887,1,0.69316,0.09411,8.686,15.114,10.521,5.711,0.96869,1.86341,10.17092,0.08174,0.15653
28484,2009,02132,8.330,0,-0.39458,0.53362,9.385,14.447,9.849,6.058,0.97872,1.18143,10.26081,0.11710,0.17477
28484,2009,02132,8.826,1,-0.42235,0.69316,8.887,14.447,9.849,6.058,0.97872,1.18143,10.26081,0.11710,0.17477
