permno,fyear,EXECID,grantdate,P_month,T,r,sigma,d,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
12570,2009,26006,20090331,3,10,0.03527,0.26142,0.01043,1,-0.26830,-0.17265,7.022,9.882,5.758,5.588,0.47527,1.50538,9.25734,0.13608,0.09612
12570,2010,26006,20100331,3,10,0.03237,0.28430,0.01350,0,0.38789,-0.26830,8.220,10.096,6.014,5.670,0.43691,1.46896,9.31741,0.09211,0.12096
12570,2010,26006,20100331,3,10,0.03237,0.28430,0.01350,1,0.38789,-0.26830,7.306,10.096,6.014,5.670,0.43691,1.46896,9.31741,0.09211,0.12096
12570,2011,26006,20110331,3,10,0.01961,0.31142,0.01702,0,0.11684,0.38789,8.340,10.381,6.253,5.787,0.61343,1.40869,9.42859,0.07791,0.11151
12570,2011,26006,20110331,3,10,0.01961,0.31142,0.01702,1,0.11684,0.38789,7.808,10.381,6.253,5.787,0.61343,1.40869,9.42859,0.07791,0.11151
14277,2007,16308,20070731,7,10,0.04018,0.27936,0.00921,0,0.35112,0.52899,0.000,12.315,8.013,6.697,0.59037,3.80201,10.03597,0.06895,0.26450
14277,2007,16308,20070131,1,10,0.04018,0.27936,0.00921,1,-0.05128,0.80867,9.757,12.315,8.013,6.697,0.59037,3.80201,10.03597,0.06895,0.26450
14277,2008,16308,20080731,7,10,0.02391,0.27344,0.00786,0,0.04266,0.35112,0.000,12.739,8.353,6.343,0.62475,4.68849,10.23475,0.04186,0.27413
14277,2008,16308,20080131,1,10,0.02391,0.27344,0.00786,1,0.13928,-0.05128,9.231,12.739,8.353,6.343,0.62475,4.68849,10.23475,0.04186,0.27413
14277,2009,16308,20090731,7,10,0.03527,0.40887,0.01156,0,-0.47868,0.04266,0.000,11.577,7.255,6.800,0.71130,2.05293,10.37323,0.08056,0.24992
14277,2009,16308,20090131,1,10,0.03527,0.40887,0.01156,1,-0.46785,0.13928,9.190,11.577,7.255,6.800,0.71130,2.05293,10.37323,0.08056,0.24992
14277,2010,16308,20100731,7,10,0.03237,0.38491,0.01320,0,0.11106,-0.47868,0.000,12.284,7.852,6.926,0.69945,2.75295,10.41829,0.05948,0.16461
14277,2010,16308,20100131,1,10,0.03237,0.38491,0.01320,1,0.54809,-0.46785,9.332,12.284,7.852,6.926,0.69945,2.75295,10.41829,0.05948,0.16461
